cell_id,embryo,clone_id,clone_uid,cluster
E1_clone10_2,E1,clone10,E1::clone10,6
E1_clone10_3,E1,clone10,E1::clone10,6
E1_clone10_4,E1,clone10,E1::clone10,9
E1_clone10_5,E1,clone10,E1::clone10,7
E1_clone10_6,E1,clone10,E1::clone10,6
E1_clone10_7,E1,clone10,E1::clone10,6
E1_clone10_8,E1,clone10,E1::clone10,7
E1_clone11_0,E1,clone11,E1::clone11,1
E1_clone11_1,E1,clone11,E1::clone11,1
E1_clone11_2,E1,clone11,E1::clone11,1
E1_clone11_3,E1,clone11,E1::clone11,1
E1_clone11_4,E1,clone11,E1::clone11,1
E1_clone11_5,E1,clone11,E1::clone11,1
E1_clone11_6,E1,clone11,E1::clone11,1
E1_clone11_7,E1,clone11,E1::clone11,0
E1_clone11_8,E1,clone11,E1::clone11,1
E1_clone11_9,E1,clone11,E1::clone11,0
E1_clone11_10,E1,clone11,E1::clone11,1
E1_clone12_0,E1,clone12,E1::clone12,0
E1_clone12_1,E1,clone12,E1::clone12,1
E1_clone12_2,E1,clone12,E1::clone12,0
E1_clone13_0,E1,clone13,E1::clone13,7
E1_clone13_1,E1,clone13,E1::clone13,6
E1_clone13_2,E1,clone13,E1::clone13,7
E1_clone13_3,E1,clone13,E1::clone13,1
E1_clone14_0,E1,clone14,E1::clone14,5
E1_clone14_1,E1,clone14,E1::clone14,3
E1_clone15_0,E1,clone15,E1::clone15,3
E1_clone15_1,E1,clone15,E1::clone15,11
E1_clone15_2,E1,clone15,E1::clone15,3
E1_clone15_3,E1,clone15,E1::clone15,3
E1_clone15_4,E1,clone15,E1::clone15,3
E1_clone15_5,E1,clone15,E1::clone15,3
E1_clone15_6,E1,clone15,E1::clone15,3
E1_clone15_7,E1,clone15,E1::clone15,3
E1_clone15_8,E1,clone15,E1::clone15,0
E1_clone15_9,E1,clone15,E1::clone15,5
E1_clone15_10,E1,clone15,E1::clone15,9
E1_clone16_0,E1,clone16,E1::clone16,3
E1_clone16_1,E1,clone16,E1::clone16,4
E1_clone16_2,E1,clone16,E1::clone16,3
E1_clone16_3,E1,clone16,E1::clone16,4
E1_clone16_4,E1,clone16,E1::clone16,5
E1_clone16_5,E1,clone16,E1::clone16,5
E1_clone17_0,E1,clone17,E1::clone17,7
E1_clone17_1,E1,clone17,E1::clone17,0
E1_clone18_0,E1,clone18,E1::clone18,3
E1_clone18_1,E1,clone18,E1::clone18,5
E1_clone18_2,E1,clone18,E1::clone18,5
E1_clone19_0,E1,clone19,E1::clone19,10
E1_clone20_0,E1,clone20,E1::clone20,3
E1_clone20_1,E1,clone20,E1::clone20,11
E1_clone20_2,E1,clone20,E1::clone20,3
E1_clone20_3,E1,clone20,E1::clone20,1
E1_clone20_4,E1,clone20,E1::clone20,3
E1_clone20_5,E1,clone20,E1::clone20,11
E1_clone20_6,E1,clone20,E1::clone20,9
E1_clone21_0,E1,clone21,E1::clone21,9
E1_clone21_1,E1,clone21,E1::clone21,9
E1_clone21_2,E1,clone21,E1::clone21,3
E1_clone21_3,E1,clone21,E1::clone21,3
E1_clone22_0,E1,clone22,E1::clone22,3
E1_clone23_0,E1,clone23,E1::clone23,1
E1_clone23_1,E1,clone23,E1::clone23,0
E1_clone23_2,E1,clone23,E1::clone23,9
E1_clone23_3,E1,clone23,E1::clone23,0
E1_clone23_4,E1,clone23,E1::clone23,0
E1_clone23_5,E1,clone23,E1::clone23,1
E1_clone23_6,E1,clone23,E1::clone23,0
E1_clone23_7,E1,clone23,E1::clone23,0
E1_clone23_8,E1,clone23,E1::clone23,1
E1_clone24_0,E1,clone24,E1::clone24,0
E1_clone24_1,E1,clone24,E1::clone24,1
E1_clone24_2,E1,clone24,E1::clone24,11
E1_clone24_3,E1,clone24,E1::clone24,1
E1_clone24_4,E1,clone24,E1::clone24,0
E1_clone24_5,E1,clone24,E1::clone24,0
E1_clone24_6,E1,clone24,E1::clone24,0
E1_clone24_7,E1,clone24,E1::clone24,0
E1_clone25_0,E1,clone25,E1::clone25,3
E1_clone25_1,E1,clone25,E1::clone25,3
E1_clone25_2,E1,clone25,E1::clone25,5
E1_clone25_3,E1,clone25,E1::clone25,3
E1_clone25_4,E1,clone25,E1::clone25,3
E1_clone25_5,E1,clone25,E1::clone25,5
E1_clone25_6,E1,clone25,E1::clone25,5
E1_clone25_7,E1,clone25,E1::clone25,5
E1_clone25_8,E1,clone25,E1::clone25,3
E1_clone25_9,E1,clone25,E1::clone25,3
E1_clone26_0,E1,clone26,E1::clone26,0
E1_clone26_1,E1,clone26,E1::clone26,1
E1_clone26_2,E1,clone26,E1::clone26,1
E1_clone26_3,E1,clone26,E1::clone26,10
E1_clone26_4,E1,clone26,E1::clone26,0
E1_clone26_5,E1,clone26,E1::clone26,8
E1_clone26_6,E1,clone26,E1::clone26,0
E1_clone27_0,E1,clone27,E1::clone27,3
E1_clone27_1,E1,clone27,E1::clone27,3
E1_clone27_2,E1,clone27,E1::clone27,3
E1_clone27_3,E1,clone27,E1::clone27,3
E1_clone27_4,E1,clone27,E1::clone27,11
E1_clone27_5,E1,clone27,E1::clone27,3
E1_clone27_6,E1,clone27,E1::clone27,11
E1_clone27_7,E1,clone27,E1::clone27,5
E1_clone27_8,E1,clone27,E1::clone27,3
E1_clone27_9,E1,clone27,E1::clone27,5
E1_clone27_10,E1,clone27,E1::clone27,0
E1_clone28_0,E1,clone28,E1::clone28,8
E1_clone28_1,E1,clone28,E1::clone28,6
E1_clone28_2,E1,clone28,E1::clone28,7
E1_clone28_3,E1,clone28,E1::clone28,7
E1_clone28_4,E1,clone28,E1::clone28,8
E1_clone28_5,E1,clone28,E1::clone28,7
E1_clone28_6,E1,clone28,E1::clone28,6
E1_clone28_7,E1,clone28,E1::clone28,6
E1_clone29_0,E1,clone29,E1::clone29,4
E1_clone29_1,E1,clone29,E1::clone29,8
E1_clone30_0,E1,clone30,E1::clone30,0
E1_clone30_1,E1,clone30,E1::clone30,1
E1_clone30_2,E1,clone30,E1::clone30,1
E1_clone30_3,E1,clone30,E1::clone30,0
E1_clone31_0,E1,clone31,E1::clone31,1
E1_clone31_1,E1,clone31,E1::clone31,0
E1_clone31_2,E1,clone31,E1::clone31,1
E1_clone31_3,E1,clone31,E1::clone31,0
E1_clone31_4,E1,clone31,E1::clone31,0
E1_clone32_0,E1,clone32,E1::clone32,0
E1_clone32_1,E1,clone32,E1::clone32,0
E1_clone32_2,E1,clone32,E1::clone32,0
E1_clone32_3,E1,clone32,E1::clone32,0
E1_clone32_4,E1,clone32,E1::clone32,0
E1_clone32_5,E1,clone32,E1::clone32,0
E1_clone32_6,E1,clone32,E1::clone32,0
E1_clone32_7,E1,clone32,E1::clone32,1
E1_clone32_8,E1,clone32,E1::clone32,1
E1_clone32_9,E1,clone32,E1::clone32,1
E1_clone32_10,E1,clone32,E1::clone32,0
E1_clone33_0,E1,clone33,E1::clone33,9
E1_clone33_1,E1,clone33,E1::clone33,6
E1_clone33_2,E1,clone33,E1::clone33,1
E1_clone33_3,E1,clone33,E1::clone33,3
E1_clone33_4,E1,clone33,E1::clone33,3
E1_clone33_5,E1,clone33,E1::clone33,3
E1_clone33_6,E1,clone33,E1::clone33,3
E1_clone33_7,E1,clone33,E1::clone33,3
E1_clone33_8,E1,clone33,E1::clone33,1
E1_clone33_9,E1,clone33,E1::clone33,3
E1_clone33_10,E1,clone33,E1::clone33,3
E1_clone34_0,E1,clone34,E1::clone34,1
E1_clone34_1,E1,clone34,E1::clone34,10
E1_clone34_2,E1,clone34,E1::clone34,6
E1_clone34_3,E1,clone34,E1::clone34,8
E1_clone34_4,E1,clone34,E1::clone34,9
E1_clone34_5,E1,clone34,E1::clone34,11
E1_clone34_6,E1,clone34,E1::clone34,8
E1_clone34_7,E1,clone34,E1::clone34,8
E1_clone34_8,E1,clone34,E1::clone34,8
E1_clone34_9,E1,clone34,E1::clone34,8
E1_clone35_0,E1,clone35,E1::clone35,1
E1_clone35_1,E1,clone35,E1::clone35,1
E1_clone36_0,E1,clone36,E1::clone36,3
E1_clone36_1,E1,clone36,E1::clone36,3
E1_clone36_2,E1,clone36,E1::clone36,3
E1_clone36_3,E1,clone36,E1::clone36,3
E1_clone36_4,E1,clone36,E1::clone36,3
E1_clone36_5,E1,clone36,E1::clone36,3
E1_clone36_6,E1,clone36,E1::clone36,3
E1_clone36_7,E1,clone36,E1::clone36,3
E1_clone36_8,E1,clone36,E1::clone36,3
E1_clone36_9,E1,clone36,E1::clone36,3
E1_clone36_10,E1,clone36,E1::clone36,3
E1_clone37_0,E1,clone37,E1::clone37,3
E1_clone37_1,E1,clone37,E1::clone37,11
E1_clone37_2,E1,clone37,E1::clone37,10
E1_clone37_3,E1,clone37,E1::clone37,3
E1_clone37_4,E1,clone37,E1::clone37,3
E1_clone37_5,E1,clone37,E1::clone37,3
E1_clone37_6,E1,clone37,E1::clone37,6
E1_clone37_7,E1,clone37,E1::clone37,4
E1_clone37_8,E1,clone37,E1::clone37,5
E1_clone37_9,E1,clone37,E1::clone37,3
E1_clone38_0,E1,clone38,E1::clone38,1
E1_clone38_1,E1,clone38,E1::clone38,0
E1_clone38_2,E1,clone38,E1::clone38,1
E1_clone38_3,E1,clone38,E1::clone38,1
E1_clone38_4,E1,clone38,E1::clone38,0
E1_clone38_5,E1,clone38,E1::clone38,1
E1_clone38_6,E1,clone38,E1::clone38,0
E1_clone38_7,E1,clone38,E1::clone38,1
E1_clone38_8,E1,clone38,E1::clone38,0
E1_clone39_0,E1,clone39,E1::clone39,6
E1_clone39_1,E1,clone39,E1::clone39,11
E1_clone39_2,E1,clone39,E1::clone39,8
E1_clone39_3,E1,clone39,E1::clone39,7
E1_clone39_4,E1,clone39,E1::clone39,8
E1_clone39_5,E1,clone39,E1::clone39,8
E1_clone39_6,E1,clone39,E1::clone39,11
E1_clone40_0,E1,clone40,E1::clone40,3
E1_clone41_0,E1,clone41,E1::clone41,3
E1_clone41_1,E1,clone41,E1::clone41,3
E1_clone41_2,E1,clone41,E1::clone41,3
E1_clone42_0,E1,clone42,E1::clone42,5
E1_clone42_1,E1,clone42,E1::clone42,5
E1_clone42_2,E1,clone42,E1::clone42,3
E1_clone42_3,E1,clone42,E1::clone42,3
E1_clone42_4,E1,clone42,E1::clone42,11
E1_clone42_5,E1,clone42,E1::clone42,3
E1_clone43_0,E1,clone43,E1::clone43,0
E1_clone43_1,E1,clone43,E1::clone43,1
E1_clone43_2,E1,clone43,E1::clone43,1
E1_clone43_3,E1,clone43,E1::clone43,1
E1_clone43_4,E1,clone43,E1::clone43,1
E1_clone43_5,E1,clone43,E1::clone43,0
E1_clone44_0,E1,clone44,E1::clone44,6
E1_clone44_1,E1,clone44,E1::clone44,6
E1_clone44_2,E1,clone44,E1::clone44,6
E1_clone44_3,E1,clone44,E1::clone44,6
E1_clone44_4,E1,clone44,E1::clone44,6
E1_clone44_5,E1,clone44,E1::clone44,11
E1_clone44_6,E1,clone44,E1::clone44,6
E1_clone44_7,E1,clone44,E1::clone44,6
E1_clone44_8,E1,clone44,E1::clone44,8
E1_clone45_0,E1,clone45,E1::clone45,11
E1_clone45_1,E1,clone45,E1::clone45,5
E1_clone45_2,E1,clone45,E1::clone45,3
E1_clone45_3,E1,clone45,E1::clone45,3
E1_clone45_4,E1,clone45,E1::clone45,11
E1_clone45_5,E1,clone45,E1::clone45,5
E1_clone45_6,E1,clone45,E1::clone45,11
E1_clone45_7,E1,clone45,E1::clone45,3
E1_clone45_8,E1,clone45,E1::clone45,6
E1_clone45_9,E1,clone45,E1::clone45,3
E1_clone46_0,E1,clone46,E1::clone46,4
E1_clone46_1,E1,clone46,E1::clone46,0
E1_clone47_0,E1,clone47,E1::clone47,5
E1_clone47_1,E1,clone47,E1::clone47,3
E1_clone48_0,E1,clone48,E1::clone48,3
E1_clone48_1,E1,clone48,E1::clone48,10
E1_clone48_2,E1,clone48,E1::clone48,5
E1_clone48_3,E1,clone48,E1::clone48,3
E1_clone48_4,E1,clone48,E1::clone48,11
E1_clone48_5,E1,clone48,E1::clone48,9
E1_clone48_6,E1,clone48,E1::clone48,3
E1_clone48_7,E1,clone48,E1::clone48,5
E1_clone48_8,E1,clone48,E1::clone48,3
E1_clone48_9,E1,clone48,E1::clone48,11
E1_clone48_10,E1,clone48,E1::clone48,4
E1_clone49_0,E1,clone49,E1::clone49,3
E1_clone49_1,E1,clone49,E1::clone49,9
E1_clone49_2,E1,clone49,E1::clone49,1
E1_clone49_3,E1,clone49,E1::clone49,3
E1_clone49_4,E1,clone49,E1::clone49,3
E1_clone49_5,E1,clone49,E1::clone49,5
E1_clone50_0,E1,clone50,E1::clone50,8
E1_clone50_1,E1,clone50,E1::clone50,1
E1_clone50_2,E1,clone50,E1::clone50,0
E1_clone50_3,E1,clone50,E1::clone50,1
E1_clone50_4,E1,clone50,E1::clone50,7
E1_clone50_5,E1,clone50,E1::clone50,8
E1_clone50_6,E1,clone50,E1::clone50,6
E1_clone50_7,E1,clone50,E1::clone50,8
E1_clone50_8,E1,clone50,E1::clone50,3
E1_clone51_0,E1,clone51,E1::clone51,10
E1_clone51_1,E1,clone51,E1::clone51,8
E1_clone51_2,E1,clone51,E1::clone51,8
E1_clone52_0,E1,clone52,E1::clone52,0
E1_clone52_1,E1,clone52,E1::clone52,0
E1_clone52_2,E1,clone52,E1::clone52,1
E1_clone52_3,E1,clone52,E1::clone52,1
E1_clone52_4,E1,clone52,E1::clone52,1
E1_clone52_5,E1,clone52,E1::clone52,1
E1_clone52_6,E1,clone52,E1::clone52,0
E1_clone52_7,E1,clone52,E1::clone52,1
E1_clone52_8,E1,clone52,E1::clone52,0
E1_clone52_9,E1,clone52,E1::clone52,0
E1_clone53_0,E1,clone53,E1::clone53,11
E1_clone53_1,E1,clone53,E1::clone53,3
E1_clone53_2,E1,clone53,E1::clone53,1
E1_clone53_3,E1,clone53,E1::clone53,3
E1_clone53_4,E1,clone53,E1::clone53,1
E1_clone53_5,E1,clone53,E1::clone53,9
E1_clone53_6,E1,clone53,E1::clone53,5
E1_clone53_7,E1,clone53,E1::clone53,3
E1_clone53_8,E1,clone53,E1::clone53,3
E1_clone53_9,E1,clone53,E1::clone53,3
E1_clone54_0,E1,clone54,E1::clone54,5
E1_clone54_1,E1,clone54,E1::clone54,3
E1_clone54_2,E1,clone54,E1::clone54,3
E1_clone54_3,E1,clone54,E1::clone54,3
E1_clone54_4,E1,clone54,E1::clone54,11
E1_clone55_0,E1,clone55,E1::clone55,1
E1_clone55_1,E1,clone55,E1::clone55,1
E1_clone55_2,E1,clone55,E1::clone55,1
E1_clone55_3,E1,clone55,E1::clone55,9
E1_clone55_4,E1,clone55,E1::clone55,0
E1_clone55_5,E1,clone55,E1::clone55,1
E1_clone55_6,E1,clone55,E1::clone55,1
E1_clone55_7,E1,clone55,E1::clone55,1
E1_clone55_8,E1,clone55,E1::clone55,0
E1_clone55_9,E1,clone55,E1::clone55,0
E1_clone55_10,E1,clone55,E1::clone55,0
E1_clone56_0,E1,clone56,E1::clone56,3
E1_clone56_1,E1,clone56,E1::clone56,3
E1_clone57_0,E1,clone57,E1::clone57,3
E1_clone57_1,E1,clone57,E1::clone57,3
E1_clone57_2,E1,clone57,E1::clone57,3
E1_clone57_3,E1,clone57,E1::clone57,3
E1_clone58_0,E1,clone58,E1::clone58,3
E1_clone58_1,E1,clone58,E1::clone58,3
E1_clone58_2,E1,clone58,E1::clone58,3
E1_clone58_3,E1,clone58,E1::clone58,3
E1_clone58_4,E1,clone58,E1::clone58,5
E1_clone58_5,E1,clone58,E1::clone58,3
E1_clone58_6,E1,clone58,E1::clone58,4
E1_clone58_7,E1,clone58,E1::clone58,3
E1_clone58_8,E1,clone58,E1::clone58,5
E1_clone58_9,E1,clone58,E1::clone58,3
E1_clone58_10,E1,clone58,E1::clone58,3
E1_clone59_0,E1,clone59,E1::clone59,3
E1_clone60_0,E1,clone60,E1::clone60,9
E1_clone60_1,E1,clone60,E1::clone60,10
E1_clone60_2,E1,clone60,E1::clone60,3
E1_clone60_3,E1,clone60,E1::clone60,3
E1_clone60_4,E1,clone60,E1::clone60,5
E1_clone60_5,E1,clone60,E1::clone60,3
E1_clone60_6,E1,clone60,E1::clone60,5
E1_clone60_7,E1,clone60,E1::clone60,3
E1_clone60_8,E1,clone60,E1::clone60,3
E1_clone60_9,E1,clone60,E1::clone60,3
E1_clone60_10,E1,clone60,E1::clone60,6
E1_clone61_0,E1,clone61,E1::clone61,0
E1_clone61_1,E1,clone61,E1::clone61,0
E1_clone61_2,E1,clone61,E1::clone61,0
E1_clone61_3,E1,clone61,E1::clone61,0
E1_clone61_4,E1,clone61,E1::clone61,1
E1_clone61_5,E1,clone61,E1::clone61,0
E1_clone62_0,E1,clone62,E1::clone62,6
E1_clone62_1,E1,clone62,E1::clone62,6
E1_clone62_2,E1,clone62,E1::clone62,7
E1_clone62_3,E1,clone62,E1::clone62,6
E1_clone62_4,E1,clone62,E1::clone62,6
E1_clone63_0,E1,clone63,E1::clone63,11
E1_clone63_1,E1,clone63,E1::clone63,8
E1_clone63_2,E1,clone63,E1::clone63,6
E1_clone63_3,E1,clone63,E1::clone63,8
E1_clone63_4,E1,clone63,E1::clone63,8
E1_clone63_5,E1,clone63,E1::clone63,6
E1_clone63_6,E1,clone63,E1::clone63,8
E1_clone63_7,E1,clone63,E1::clone63,0
E1_clone63_8,E1,clone63,E1::clone63,6
E1_clone63_9,E1,clone63,E1::clone63,7
E1_clone64_0,E1,clone64,E1::clone64,1
E1_clone64_1,E1,clone64,E1::clone64,11
E1_clone64_2,E1,clone64,E1::clone64,1
E1_clone64_3,E1,clone64,E1::clone64,1
E1_clone64_4,E1,clone64,E1::clone64,11
E1_clone64_5,E1,clone64,E1::clone64,0
E1_clone65_0,E1,clone65,E1::clone65,3
E1_clone65_1,E1,clone65,E1::clone65,3
E1_clone66_0,E1,clone66,E1::clone66,3
E1_clone66_1,E1,clone66,E1::clone66,3
E1_clone66_2,E1,clone66,E1::clone66,3
E1_clone66_3,E1,clone66,E1::clone66,10
E1_clone66_4,E1,clone66,E1::clone66,1
E1_clone66_5,E1,clone66,E1::clone66,3
E1_clone66_6,E1,clone66,E1::clone66,3
E1_clone66_7,E1,clone66,E1::clone66,3
E1_clone66_8,E1,clone66,E1::clone66,3
E1_clone66_9,E1,clone66,E1::clone66,3
E1_clone67_0,E1,clone67,E1::clone67,0
E1_clone67_1,E1,clone67,E1::clone67,1
E1_clone67_2,E1,clone67,E1::clone67,1
E1_clone67_3,E1,clone67,E1::clone67,1
E1_clone67_4,E1,clone67,E1::clone67,1
E1_clone67_5,E1,clone67,E1::clone67,1
E1_clone67_6,E1,clone67,E1::clone67,0
E1_clone67_7,E1,clone67,E1::clone67,1
E1_clone67_8,E1,clone67,E1::clone67,1
E1_clone68_0,E1,clone68,E1::clone68,7
E1_clone68_1,E1,clone68,E1::clone68,8
E1_clone68_2,E1,clone68,E1::clone68,8
E1_clone68_3,E1,clone68,E1::clone68,7
E1_clone68_4,E1,clone68,E1::clone68,9
E1_clone68_5,E1,clone68,E1::clone68,7
E1_clone68_6,E1,clone68,E1::clone68,8
E1_clone68_7,E1,clone68,E1::clone68,6
E1_clone68_8,E1,clone68,E1::clone68,7
E1_clone68_9,E1,clone68,E1::clone68,7
E1_clone69_0,E1,clone69,E1::clone69,1
E1_clone69_1,E1,clone69,E1::clone69,7
E1_clone69_2,E1,clone69,E1::clone69,1
E1_clone69_3,E1,clone69,E1::clone69,0
E1_clone70_0,E1,clone70,E1::clone70,0
E1_clone71_0,E1,clone71,E1::clone71,7
E1_clone71_1,E1,clone71,E1::clone71,6
E1_clone71_2,E1,clone71,E1::clone71,7
E1_clone71_3,E1,clone71,E1::clone71,0
E1_clone72_0,E1,clone72,E1::clone72,3
E1_clone72_1,E1,clone72,E1::clone72,11
E1_clone72_2,E1,clone72,E1::clone72,3
E1_clone72_3,E1,clone72,E1::clone72,3
E1_clone72_4,E1,clone72,E1::clone72,5
E1_clone73_0,E1,clone73,E1::clone73,8
E1_clone73_1,E1,clone73,E1::clone73,11
E1_clone73_2,E1,clone73,E1::clone73,8
E1_clone73_3,E1,clone73,E1::clone73,8
E1_clone74_0,E1,clone74,E1::clone74,3
E1_clone75_0,E1,clone75,E1::clone75,4
E1_clone75_1,E1,clone75,E1::clone75,11
E1_clone76_0,E1,clone76,E1::clone76,1
E1_clone76_1,E1,clone76,E1::clone76,1
E1_clone77_0,E1,clone77,E1::clone77,0
E1_clone77_1,E1,clone77,E1::clone77,0
E1_clone77_2,E1,clone77,E1::clone77,1
E1_clone77_3,E1,clone77,E1::clone77,1
E1_clone77_4,E1,clone77,E1::clone77,11
E1_clone77_5,E1,clone77,E1::clone77,1
E1_clone77_6,E1,clone77,E1::clone77,11
E1_clone77_7,E1,clone77,E1::clone77,1
E1_clone77_8,E1,clone77,E1::clone77,1
E1_clone77_9,E1,clone77,E1::clone77,0
E1_clone77_10,E1,clone77,E1::clone77,1
E1_clone78_0,E1,clone78,E1::clone78,8
E1_clone78_1,E1,clone78,E1::clone78,1
E1_clone78_2,E1,clone78,E1::clone78,6
E1_clone78_3,E1,clone78,E1::clone78,1
E1_clone78_4,E1,clone78,E1::clone78,6
E1_clone78_5,E1,clone78,E1::clone78,8
E1_clone79_0,E1,clone79,E1::clone79,5
E1_clone79_1,E1,clone79,E1::clone79,8
E1_clone79_2,E1,clone79,E1::clone79,5
E1_clone79_3,E1,clone79,E1::clone79,5
E1_clone79_4,E1,clone79,E1::clone79,1
E1_clone79_5,E1,clone79,E1::clone79,3
E1_clone79_6,E1,clone79,E1::clone79,3
E1_clone79_7,E1,clone79,E1::clone79,7
E1_clone79_8,E1,clone79,E1::clone79,0
E1_clone80_0,E1,clone80,E1::clone80,1
E1_clone80_1,E1,clone80,E1::clone80,3
E1_clone80_2,E1,clone80,E1::clone80,9
E1_clone80_3,E1,clone80,E1::clone80,4
E1_clone80_4,E1,clone80,E1::clone80,3
E1_clone80_5,E1,clone80,E1::clone80,6
E1_clone80_6,E1,clone80,E1::clone80,3
E1_clone80_7,E1,clone80,E1::clone80,6
E1_clone80_8,E1,clone80,E1::clone80,3
E1_clone80_9,E1,clone80,E1::clone80,3
E1_clone80_10,E1,clone80,E1::clone80,3
E1_clone81_0,E1,clone81,E1::clone81,2
E1_clone81_1,E1,clone81,E1::clone81,0
E1_clone81_2,E1,clone81,E1::clone81,0
E1_clone81_3,E1,clone81,E1::clone81,0
E1_clone81_4,E1,clone81,E1::clone81,1
E1_clone81_5,E1,clone81,E1::clone81,1
E1_clone82_0,E1,clone82,E1::clone82,1
E1_clone82_1,E1,clone82,E1::clone82,0
E1_clone82_2,E1,clone82,E1::clone82,1
E1_clone82_3,E1,clone82,E1::clone82,11
E1_clone82_4,E1,clone82,E1::clone82,1
E1_clone82_5,E1,clone82,E1::clone82,1
E1_clone83_0,E1,clone83,E1::clone83,7
E1_clone83_1,E1,clone83,E1::clone83,1
E1_clone83_2,E1,clone83,E1::clone83,0
E1_clone83_3,E1,clone83,E1::clone83,1
E1_clone83_4,E1,clone83,E1::clone83,0
E1_clone83_5,E1,clone83,E1::clone83,0
E1_clone83_6,E1,clone83,E1::clone83,0
E1_clone83_7,E1,clone83,E1::clone83,1
E1_clone83_8,E1,clone83,E1::clone83,1
E1_clone83_9,E1,clone83,E1::clone83,0
E1_clone83_10,E1,clone83,E1::clone83,1
E1_clone84_0,E1,clone84,E1::clone84,7
E1_clone84_1,E1,clone84,E1::clone84,6
E1_clone84_2,E1,clone84,E1::clone84,9
E1_clone84_3,E1,clone84,E1::clone84,6
E1_clone84_4,E1,clone84,E1::clone84,6
E1_clone84_5,E1,clone84,E1::clone84,9
E1_clone84_6,E1,clone84,E1::clone84,7
E1_clone84_7,E1,clone84,E1::clone84,8
E1_clone84_8,E1,clone84,E1::clone84,7
E1_clone84_9,E1,clone84,E1::clone84,8
E1_clone85_0,E1,clone85,E1::clone85,0
E1_clone85_1,E1,clone85,E1::clone85,0
E1_clone85_2,E1,clone85,E1::clone85,0
E1_clone85_3,E1,clone85,E1::clone85,2
E1_clone85_4,E1,clone85,E1::clone85,0
E1_clone85_5,E1,clone85,E1::clone85,1
E1_clone85_6,E1,clone85,E1::clone85,1
E1_clone85_7,E1,clone85,E1::clone85,1
E1_clone85_8,E1,clone85,E1::clone85,1
E1_clone85_9,E1,clone85,E1::clone85,1
E1_clone85_10,E1,clone85,E1::clone85,11
